domain,topic,video_title,video_url,comment,sentiment,comment_en,clean_comment
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,He knows what he is doing 👍👍 the good truth and the sronghold,Positive,He knows what he's doing 👍👍 the truth and the stronghold,know thumb thumb truth stronghold
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,"Industrial Master Plan
Should be Target Certain area
Eg Ghost City ln order to know our place in ASEAN competition eg Industrial Economy",Neutral,The industrial master plan should be targeted to a certain area e.g. Ghost City In order to know our place in ASEAN competition e.g. Industrial Economy,industrial master plan targeted certain area e g ghost city order know place asean competition e g industrial economy
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Very intelligent minister,Positive,Very intelligent minister,intelligent minister
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,The beginning of Malaysia AI Artificial Intelligence Kepintaran Buatan industry,Positive,The beginning of Malaysia's AI (Artificial Intelligence) industry,beginning malaysia ai artificial intelligence industry
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Lagi MANTAP MALAYSIA..,Positive,Malaysia is really awesome again..,malaysia really awesome
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Congratulations for your ratification of WTO laws.,Positive,Congratulations on your ratification of the WTO laws.,congratulation ratification wto law
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Mantap..👍😊👍🇲🇾,Positive,Awesome,awesome
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,"We need results, not headlines.",Negative,"We need results, not headlines.",need result headline
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,There are bigger issues to solve first.,Negative,There are bigger issues to solve first.,bigger issue solve first
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,I don't think this is enough.,Negative,I don't think this is enough.,think enough
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Hopefully this project is managed properly.,Negative,Hopefully this project is managed properly.,hopefully project managed properly
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Too much hype already.,Negative,Too much hype already.,much hype already
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Malaysia still has a long way to go.,Negative,Malaysia still has a long way to go.,malaysia still long way go
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Hope this won't be delayed again.,Negative,Hope this won't be delayed again.,hope delayed
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Still waiting to see real progress.,Negative,Still waiting to see real progress.,still waiting see real progress
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Don't expect miracles overnight.,Negative,Don't expect miracles overnight.,expect miracle overnight
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,I'll believe it when I see the results.,Negative,I'll believe it when I see the results.,believe see result
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Mantap,Positive,Awesome,awesome
AI,AI Hub,Malaysia as a generative AI hub - Interview with CNN,https://www.youtube.com/watch?v=LZSUz-SuYgI,Can't imagine if menteri formula is being interviewed.,Negative,I can't imagine if the minister formula is being interviewed.,imagine minister formula interviewed
