Run,Model,Accuracy,Precision,Recall,F1-score
1,Logistic Regression,0.666667,0.667439,0.666667,0.666675
1,Naive Bayes,0.688596,0.693933,0.688596,0.689238
1,Random Forest,0.649123,0.651124,0.649123,0.6475
1,SVM,0.666667,0.667818,0.666667,0.666547
2,Logistic Regression,0.657895,0.657751,0.657895,0.657688
2,Naive Bayes,0.701754,0.706428,0.701754,0.69824
2,Random Forest,0.609649,0.613192,0.609649,0.608092
2,SVM,0.684211,0.683908,0.684211,0.68302
3,Logistic Regression,0.666667,0.667919,0.666667,0.666934
3,Naive Bayes,0.627193,0.627582,0.627193,0.62648
3,Random Forest,0.653509,0.653115,0.653509,0.653073
3,SVM,0.666667,0.667852,0.666667,0.667012
4,Logistic Regression,0.666667,0.668736,0.666667,0.666581
4,Naive Bayes,0.635965,0.641681,0.635965,0.630533
4,Random Forest,0.583333,0.582642,0.583333,0.582721
4,SVM,0.684211,0.688232,0.684211,0.684856
5,Logistic Regression,0.719298,0.721126,0.719298,0.719703
5,Naive Bayes,0.684211,0.703152,0.684211,0.684756
5,Random Forest,0.684211,0.687523,0.684211,0.684823
5,SVM,0.701754,0.71062,0.701754,0.703791
6,Logistic Regression,0.671053,0.677719,0.671053,0.669186
6,Naive Bayes,0.653509,0.662919,0.653509,0.652194
6,Random Forest,0.684211,0.686613,0.684211,0.682664
6,SVM,0.70614,0.710613,0.70614,0.705116
7,Logistic Regression,0.671053,0.671673,0.671053,0.670447
7,Naive Bayes,0.679825,0.692069,0.679825,0.677204
7,Random Forest,0.614035,0.613719,0.614035,0.61246
7,SVM,0.653509,0.65455,0.653509,0.653063
8,Logistic Regression,0.688596,0.689811,0.688596,0.688779
8,Naive Bayes,0.675439,0.683927,0.675439,0.676462
8,Random Forest,0.622807,0.624053,0.622807,0.623359
8,SVM,0.679825,0.681447,0.679825,0.680232
9,Logistic Regression,0.649123,0.654868,0.649123,0.647163
9,Naive Bayes,0.679825,0.694336,0.679825,0.674695
9,Random Forest,0.583333,0.589282,0.583333,0.578861
9,SVM,0.635965,0.644583,0.635965,0.633497
10,Logistic Regression,0.640351,0.640351,0.640351,0.640351
10,Naive Bayes,0.635965,0.640075,0.635965,0.635218
10,Random Forest,0.587719,0.587712,0.587719,0.587102
10,SVM,0.666667,0.667449,0.666667,0.666374
